Workers 1,Workers 2,Entry increase,All customers,Finished customers,Refused customers,Finished customers ratio,Refused customers ratio,Day end refused ratio,Total time in system (f),Waiting for repair time (f),Order wait (f),Repair wait (f),Return wait (f),Money earned,Money balance,Average repair time,Revenue per customer (f),Balance per any customer,Balance per finished customer (f),Average free type 1 workers,Average load per type 1 worker,Average free type 2 workers,Average load per type 2 worker,Average vehicles on main lot,Average vehicles on lot 1,Average vehicles on lot 2,Lot 1 load index,Lot 2 load index,Ratio of times worker 1 decided,Ratio of take order decisions,Ratio of return car decisions
Workers 1,Workers 2,Entry increase,All customers,Finished customers,Refused customers,Finished customers ratio,Refused customers ratio,Day end refused ratio,Total time in system (f),Waiting for repair time (f),Order wait (f),Repair wait (f),Return wait (f),Money earned,Money balance,Average repair time,Revenue per customer (f),Balance per any customer,Balance per finished customer (f),Average free type 1 workers,Average load per type 1 worker,Average free type 2 workers,Average load per type 2 worker,Average vehicles on main lot,Average vehicles on lot 1,Average vehicles on lot 2,Lot 1 load index,Lot 2 load index,Ratio of times worker 1 decided,Ratio of take order decisions,Ratio of return car decisions
3,9,0.0,508.4937343358396,506.4010025062657,2.092731829573935,0.9959503344589634,0.004049665541036341,0.03911278084210416,7846.52119875646,7493.232119537759,2.7691559414349802,282.4005416797604,2.0551532370770924,24044.698203842952,-805.3017961570598,6838.6254711694955,47.49045466089926,-1.672564164101964,-1.6752414740471233,2.426565825183852,0.1911447249387148,3.2123265543585733,0.6430748272934923,0.4922451591431864,1.2970698751210699,0.9901038898085168,0.21617831252017822,0.0990103889808516,0.001485884897542252,1.0,0.0
3,10,0.0,509.328320802005,508.56641604010025,0.7619047619047619,0.9985338637483175,0.001466136251681736,0.029764888411504955,7659.627335855336,7306.855801017609,2.2196854506771353,118.83356129479964,2.1570075101920834,24072.306808688383,-2377.693191311613,6815.923216522206,47.332800114737566,-4.770849542816433,-4.775316354169741,2.4244918153129076,0.19183606156236446,4.205346945474279,0.5794653054525719,0.4903467943424698,1.1739141299019888,0.9900334800594148,0.1956523549836649,0.09900334800594145,0.001581011363638823,1.0,0.0
1,4,0.0,506.77077077077075,340.7477477477477,166.02302302302303,0.6736651557455942,0.3263348442544052,0.027873359846714636,14201.565827505814,13733.389298765454,117.43795112303157,6476.072369892844,73.81346096627587,16090.964297630944,1540.9642976309676,6813.473198642112,47.31578610168129,3.038166737172227,4.534866474091292,0.6118253432157555,0.38817465678424373,0.12549307966841078,0.9686267300828971,0.6610748060857401,4.363946079261295,0.9936574407972277,0.7273243465435499,0.09936574407972266,0.05883381323120983,0.0,1.0
1,5,0.0,508.06006006006004,401.03503503503504,107.02502502502503,0.7903500168112029,0.20964998318879702,0.03648902933976477,11428.72384037342,10960.86765292496,117.4188117249958,3657.0608881612416,91.63933226348394,19029.31973640307,2879.3197364030675,6842.271246838986,47.51577254749304,5.654941169944177,7.189511106432658,0.5446783689321153,0.4553216310678846,0.41728632133205146,0.9165427357335891,0.639853254988993,3.2575283749164194,0.9990586478246803,0.542921395819404,0.09990586478246792,0.07019162625857835,0.0,1.0
1,6,0.0,508.15615615615616,435.65165165165166,72.50450450450451,0.858021807029586,0.14197819297041495,0.04429048316606172,9529.131299764058,9061.609878288844,116.91505371499731,1766.2227142014963,104.32675712565329,20624.793126459786,2874.7931264597946,6821.049778380347,47.368401238752384,5.6244484434815645,6.580617496902035,0.5059633656127528,0.4940366343872474,1.0329002682295625,0.8278499552950727,0.6307367832507389,2.209033742188878,1.003151499057238,0.368172290364813,0.10031514990572403,0.07754612106893782,0.0,1.0
1,7,0.0,509.34234234234236,449.2102102102102,60.132132132132135,0.8824564064140117,0.11754359358598801,0.047428803489846315,8567.142540242428,8099.289645739596,117.2515718853811,783.4973495025877,111.76786683958535,21313.67325658994,1963.6732565899242,6833.9412984428245,47.457925683630855,3.804131699247426,4.329204677218732,0.4910997248989478,0.5089002751010522,1.8669525053839442,0.7332924992308651,0.627667786337055,1.5826403844613064,1.0060929079508139,0.2637733974102179,0.1006092907950815,0.08198077713191294,0.0,1.0
1,8,0.0,508.8248248248248,453.37237237237235,55.452452452452455,0.8914400118524473,0.10855998814755102,0.050751857575052066,8093.017555367797,7625.4208956419,116.98421502001017,311.1393713081549,115.04652821210536,21501.684184184163,551.6841841841845,6829.219602116411,47.425136125808436,1.0216784167494357,1.1582346029968076,0.4866387316150285,0.5133612683849713,2.8231744080357126,0.6471031989955357,0.62656295125627,1.2693865657896677,1.0076575559635308,0.2115644276316115,0.10076575559635313,0.08295637745410887,0.0,1.0
1,9,0.0,510.2682682682683,455.4144144144144,54.853853853853856,0.892897675735602,0.1071023242643969,0.05330032211627115,7893.671318677417,7426.098355668611,117.17634147121254,115.11698337952471,116.25560659337589,21582.316900233567,-967.6830997664333,6824.78953764465,47.39437178919893,-1.9636205934978266,-2.190531448417986,0.4845860889199915,0.5154139110800083,3.8012383714957076,0.5776401809449209,0.6273079110531458,1.1402922470167256,1.0082536783898874,0.1900487078361209,0.10082536783898854,0.08405856260563137,0.0,1.0
1,10,0.0,509.55655655655653,454.971971971972,54.58458458458458,0.8932583592491891,0.10674164075080936,0.05212919374566124,7807.910655423962,7340.404871291153,116.8100425600928,39.23695802175565,117.64215192549602,21527.43535201866,-2622.5646479813126,6813.477187616137,47.315813802889856,-5.217943935171631,-5.834155465988014,0.48484097986969243,0.5151590201303077,4.815972393962733,0.5184027606037265,0.6267437525285331,1.0902824402785474,1.0087902713408918,0.18171374004642502,0.10087902713408907,0.0840743344323402,0.0,1.0
2,4,0.0,507.8498498498499,343.03003003003005,164.81981981981983,0.6767833076263727,0.32321669237362827,0.023989540692681603,14932.001174826673,14523.899060812133,57.49824513454342,7299.222736067958,8.195310977714442,16273.188605271942,573.1886052719382,6846.388478167116,47.54436443171605,1.1255968312950826,1.6776567392092263,1.6089187051703826,0.19554064741480884,0.08131736607112496,0.9796706584822175,0.6103140325650204,4.794418894027884,0.9891048592001848,0.7990698156713154,0.09891048592001848,0.008273152975506341,0.0,1.0
